Kabupaten/Kota,Jumlah Kejadian,Taksiran kerugian
Kabupaten Agam,134,,-
Kota Padang,116,Rp.,470000000
Kabupaten Padang Pariaman,106,Rp.,1180000000
Kabupaten Pesisir Selatan,80,Rp.,96000000
Kabupaten Tanah Datar,71,,-     
Kota Bukittinggi,70,Rp.,25000000
Kabupaten Dharmasraya,55
Kabupaten Solok,53,Rp.,34634940000
Kabupaten Pasaman Barat,43,Rp.,1089000000
Kabupaten Sijunjung,43,Rp.,15000000
Kota Pariaman,38,Rp.,227000000
Kota Padang Panjang,35,,-
Kota Payakumbuh,34,,-
Kota Sawahlunto,32,Rp.,30000000
Kabupaten Pasaman,31,Rp.,4897217667
Kabupaten Kepulauan Mentawai,26
Kabupaten Lima Puluh Kota,26,Rp.,55000000
Kota Solok,25,,-
Kabupaten Solok Selatan,13,Rp.,2568200000
Jumlah,1031,Rp.,45287357667
